,age_group,sport,comp_name,
Mayo Junior C Championship - Group 1,Junior,Football,Mayo Jnr. C Championship - Grp 1,",""Mayo Junior C Championship - Group 1"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 1""}"
Mayo Junior C Championship - Group 2,Junior,Football,Mayo Jnr. C Championship - Grp 2,",""Mayo Junior C Championship - Group 2"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 2""}"
Mayo Junior C Championship - Group 3,Junior,Football,Mayo Jnr. C Championship - Grp 3,",""Mayo Junior C Championship - Group 3"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 3""}"
Mayo Junior C Championship - Group 4,Junior,Football,Mayo Jnr. C Championship - Grp 4,",""Mayo Junior C Championship - Group 4"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Jnr. C Championship - Grp 4""}"
Mayo Senior Championship - Group 1,Senior,Football,Mayo Snr. Championship - Grp 1,",""Mayo Senior Championship - Group 1"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr. Championship - Grp 1""}"
Mayo Senior Championship - Group 2,Senior,Football,Mayo Snr. Championship - Grp 2,",""Mayo Senior Championship - Group 2"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr. Championship - Grp 2""}"
Mayo Senior Championship - Group 3,Senior,Football,Mayo Snr. Championship - Grp 3,",""Mayo Senior Championship - Group 3"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr. Championship - Grp 3""}"
Mayo Senior Championship - Group 4,Senior,Football,Mayo Snr. Championship - Grp 4,",""Mayo Senior Championship - Group 4"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr. Championship - Grp 4""}"
Mayo Snr League 2017-Group 1A,Senior,Football,Mayo Snr League 2017-Grp 1A,",""Mayo Snr League 2017-Group 1A"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1A""}"
Mayo Snr League 2017-Group 1B,Senior,Football,Mayo Snr League 2017-Grp 1B,",""Mayo Snr League 2017-Group 1B"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1B""}"
Mayo Snr League 2017-Group 1C,Senior,Football,Mayo Snr League 2017-Grp 1C,",""Mayo Snr League 2017-Group 1C"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1C""}"
Mayo Snr League 2017-Group 1D,Junior,Football,Mayo Snr League 2017-Grp 1D,",""Mayo Snr League 2017-Group 1D"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1D""}"
Mayo Snr League 2017-Group 1E,Junior,Football,Mayo Snr League 2017-Grp 1E,",""Mayo Snr League 2017-Group 1E"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1E""}"
Mayo Snr League 2017-Group 1F,Junior,Football,Mayo Snr League 2017-Grp 1F,",""Mayo Snr League 2017-Group 1F"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""Mayo Snr League 2017-Grp 1F""}"
Mayo U21 Hurling Championship,Under 21s,Football,Mayo U21 Hurling Championship,",""Mayo U21 Hurling Championship"": {""age_group"":""Under 21s"",""sport"":""Football"",""comp_name"":""Mayo U21 Hurling Championship""}"
Michael Walsh Intermediate Knockout,Intermediate,Football,Michael Walsh Inter. Knockout,",""Michael Walsh Intermediate Knockout"": {""age_group"":""Intermediate"",""sport"":""Football"",""comp_name"":""Michael Walsh Inter. Knockout""}"
Minor A Summer League 2017 Group 1,Minor,Football,Minor A Summer League 2017 Grp 1,",""Minor A Summer League 2017 Group 1"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor A Summer League 2017 Grp 1""}"
Minor A Summer League 2017 Group 2,Minor,Football,Minor A Summer League 2017 Grp 2,",""Minor A Summer League 2017 Group 2"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor A Summer League 2017 Grp 2""}"
Minor B Summer League 2017,Minor,Football,Minor B Summer League 2017,",""Minor B Summer League 2017"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor B Summer League 2017""}"
Minor League Division 2A,Minor,Football,Minor League Division 2A,",""Minor League Division 2A"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor League Division 2A""}"
Minor League Division 3,Minor,Football,Minor League Division 3,",""Minor League Division 3"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor League Division 3""}"
Minor League Division 4,Minor,Football,Minor League Division 4,",""Minor League Division 4"": {""age_group"":""Minor"",""sport"":""Football"",""comp_name"":""Minor League Division 4""}"
North Mayo Junior A Championship,Junior,Football,North Mayo Jnr. A Championship,",""North Mayo Junior A Championship"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""North Mayo Jnr. A Championship""}"
O'Mara Cup Group 1,Senior,Football,O'Mara Cup Grp 1,",""O'Mara Cup Group 1"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""O'Mara Cup Grp 1""}"
O'Mara Cup Group 2,Senior,Football,O'Mara Cup Grp 2,",""O'Mara Cup Group 2"": {""age_group"":""Senior"",""sport"":""Football"",""comp_name"":""O'Mara Cup Grp 2""}"
South Mayo Junior Championship,Junior,Football,South Mayo Jnr. Championship,",""South Mayo Junior Championship"": {""age_group"":""Junior"",""sport"":""Football"",""comp_name"":""South Mayo Jnr. Championship""}"
U14 Hurling Championship,Under 14s,Football,U14 Hurling Championship,",""U14 Hurling Championship"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U14 Hurling Championship""}"
Under 10 League 2017 Group A,Under 10s,Football,U 10 League 2017 Grp A,",""Under 10 League 2017 Group A"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 League 2017 Grp A""}"
Under 10 Leagues 2017 Group B,Under 10s,Football,U 10 Leagues 2017 Grp B,",""Under 10 Leagues 2017 Group B"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp B""}"
Under 10 Leagues 2017 Group C,Under 10s,Football,U 10 Leagues 2017 Grp C,",""Under 10 Leagues 2017 Group C"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp C""}"
Under 10 Leagues 2017 Group D,Under 10s,Football,U 10 Leagues 2017 Grp D,",""Under 10 Leagues 2017 Group D"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp D""}"
Under 10 Leagues 2017 Group E,Under 10s,Football,U 10 Leagues 2017 Grp E,",""Under 10 Leagues 2017 Group E"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp E""}"
Under 10 Leagues 2017 Group F,Under 10s,Football,U 10 Leagues 2017 Grp F,",""Under 10 Leagues 2017 Group F"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp F""}"
Under 10 Leagues 2017 Group G,Under 10s,Football,U 10 Leagues 2017 Grp G,",""Under 10 Leagues 2017 Group G"": {""age_group"":""Under 10s"",""sport"":""Football"",""comp_name"":""U 10 Leagues 2017 Grp G""}"
Under 12 Spring League Group A,Under 12s,Football,U 12 Spring League Grp A,",""Under 12 Spring League Group A"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Spring League Grp A""}"
Under 12 Spring League Group F,Under 12s,Football,U 12 Spring League Grp F,",""Under 12 Spring League Group F"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Spring League Grp F""}"
Under 12 Spring League Group J,Under 12s,Football,U 12 Spring League Grp J,",""Under 12 Spring League Group J"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Spring League Grp J""}"
Under 12 Spring League Group K,Under 12s,Football,U 12 Spring League Grp K,",""Under 12 Spring League Group K"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Spring League Grp K""}"
Under 12 Summer League Group A,Under 12s,Football,U 12 Summer League Grp A,",""Under 12 Summer League Group A"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp A""}"
Under 12 Summer League Group B,Under 12s,Football,U 12 Summer League Grp B,",""Under 12 Summer League Group B"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp B""}"
Under 12 Summer League Group C,Under 12s,Football,U 12 Summer League Grp C,",""Under 12 Summer League Group C"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp C""}"
Under 12 Summer League Group D,Under 12s,Football,U 12 Summer League Grp D,",""Under 12 Summer League Group D"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp D""}"
Under 12 Summer League Group E,Under 12s,Football,U 12 Summer League Grp E,",""Under 12 Summer League Group E"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp E""}"
Under 12 Summer League Group F,Under 12s,Football,U 12 Summer League Grp F,",""Under 12 Summer League Group F"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp F""}"
Under 12 Summer League Group G,Under 12s,Football,U 12 Summer League Grp G,",""Under 12 Summer League Group G"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp G""}"
Under 12 Summer League Group H,Under 12s,Football,U 12 Summer League Grp H,",""Under 12 Summer League Group H"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp H""}"
Under 12 Summer League Group J,Under 12s,Football,U 12 Summer League Grp J,",""Under 12 Summer League Group J"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp J""}"
Under 12 Summer League Group K,Under 12s,Football,U 12 Summer League Grp K,",""Under 12 Summer League Group K"": {""age_group"":""Under 12s"",""sport"":""Football"",""comp_name"":""U 12 Summer League Grp K""}"
Under 14 A Championship 2017 Group A,Under 14s,Football,U 14 A Championship 2017 Grp A,",""Under 14 A Championship 2017 Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 A Championship 2017 Grp A""}"
Under 14 A Championship 2017 Group B,Under 14s,Football,U 14 A Championship 2017 Grp B,",""Under 14 A Championship 2017 Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 A Championship 2017 Grp B""}"
Under 14 B Championship Group A,Under 14s,Football,U 14 B Championship Grp A,",""Under 14 B Championship Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 B Championship Grp A""}"
Under 14 B Championship Group B,Under 14s,Football,U 14 B Championship Grp B,",""Under 14 B Championship Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 B Championship Grp B""}"
Under 14 D Championship 2017 Group A,Under 14s,Football,U 14 D Championship 2017 Grp A,",""Under 14 D Championship 2017 Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 D Championship 2017 Grp A""}"
Under 14 D Championship 2017 Group B,Under 14s,Football,U 14 D Championship 2017 Grp B,",""Under 14 D Championship 2017 Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 D Championship 2017 Grp B""}"
Under 14 E Championship 2017 Group A,Under 14s,Football,U 14 E Championship 2017 Grp A,",""Under 14 E Championship 2017 Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 E Championship 2017 Grp A""}"
Under 14 E Championship 2017 Group B,Under 14s,Football,U 14 E Championship 2017 Grp B,",""Under 14 E Championship 2017 Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 E Championship 2017 Grp B""}"
Under 14 F Championship 2017 Group A,Under 14s,Football,U 14 F Championship 2017 Grp A,",""Under 14 F Championship 2017 Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 F Championship 2017 Grp A""}"
Under 14 F Championship 2017 Group B,Under 14s,Football,U 14 F Championship 2017 Grp B,",""Under 14 F Championship 2017 Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14 F Championship 2017 Grp B""}"
Under 14C Championship 2017 Group A,Under 14s,Football,U 14C Championship 2017 Grp A,",""Under 14C Championship 2017 Group A"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14C Championship 2017 Grp A""}"
Under 14C Championship 2017 Group B,Under 14s,Football,U 14C Championship 2017 Grp B,",""Under 14C Championship 2017 Group B"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14C Championship 2017 Grp B""}"
Under 14C Championship 2017 Group C,Under 14s,Football,U 14C Championship 2017 Grp C,",""Under 14C Championship 2017 Group C"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14C Championship 2017 Grp C""}"
Under 14C Championship 2017 Group D,Under 14s,Football,U 14C Championship 2017 Grp D,",""Under 14C Championship 2017 Group D"": {""age_group"":""Under 14s"",""sport"":""Football"",""comp_name"":""U 14C Championship 2017 Grp D""}"
Under 16 Division 1 Cup,Under 16s,Football,U 16 Division 1 Cup,",""Under 16 Division 1 Cup"": {""age_group"":""Under 16s"",""sport"":""Football"",""comp_name"":""U 16 Division 1 Cup""}"
Under 16 League Division 3,Under 16s,Football,U 16 League Division 3,",""Under 16 League Division 3"": {""age_group"":""Under 16s"",""sport"":""Football"",""comp_name"":""U 16 League Division 3""}"
Under 8 Go Games 2017 Group A,Unders 8s,Football,U 8 Go Games 2017 Grp A,",""Under 8 Go Games 2017 Group A"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp A""}"
Under 8 Go Games 2017 Group B,Unders 8s,Football,U 8 Go Games 2017 Grp B,",""Under 8 Go Games 2017 Group B"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp B""}"
Under 8 Go Games 2017 Group C,Unders 8s,Football,U 8 Go Games 2017 Grp C,",""Under 8 Go Games 2017 Group C"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp C""}"
Under 8 Go Games 2017 Group D,Unders 8s,Football,U 8 Go Games 2017 Grp D,",""Under 8 Go Games 2017 Group D"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp D""}"
Under 8 Go Games 2017 Group E,Unders 8s,Football,U 8 Go Games 2017 Grp E,",""Under 8 Go Games 2017 Group E"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp E""}"
Under 8 Go Games 2017 Group F,Unders 8s,Football,U 8 Go Games 2017 Grp F,",""Under 8 Go Games 2017 Group F"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp F""}"
Under 8 Go Games 2017 Group G,Unders 8s,Football,U 8 Go Games 2017 Grp G,",""Under 8 Go Games 2017 Group G"": {""age_group"":""Unders 8s"",""sport"":""Football"",""comp_name"":""U 8 Go Games 2017 Grp G""}"
West Mayo Junior B Group 1,Junior B,Football,West Mayo Jnr. B Grp 1,",""West Mayo Junior B Group 1"": {""age_group"":""Junior B"",""sport"":""Football"",""comp_name"":""West Mayo Jnr. B Grp 1""}"
West Mayo Junior B Group 2,Junior B,Football,West Mayo Jnr. B Grp 2,",""West Mayo Junior B Group 2"": {""age_group"":""Junior B"",""sport"":""Football"",""comp_name"":""West Mayo Jnr. B Grp 2""}"
